att3,att4,att1,att5,att7,att9,att6,att8,att19,att2,classe
9,0.0,140,0.0,0.062963,0.311111,0.277778,0.666667,-1.121818,125,BRICKFACE
9,0.0,188,0.0,0.266667,0.077778,0.333333,0.5,-0.924817,133,BRICKFACE
9,0.0,105,0.0,0.107407,0.522222,0.277778,0.833333,-0.965946,139,BRICKFACE
9,0.0,34,0.0,0.166667,0.474074,0.5,1.111111,-0.744272,137,BRICKFACE
9,0.0,39,0.0,0.374074,0.429629,0.722222,0.888889,-1.175773,111,BRICKFACE
9,0.0,16,0.0,0.077778,0.311111,0.5,0.666667,-0.985811,128,BRICKFACE
9,0.111111,26,0.0,0.88889,3.185185,1.0,2.444445,-1.623202,67,BRICKFACE
9,0.0,14,0.0,5.351851,1.022223,1.722222,2.666667,-1.345096,110,BRICKFACE
9,0.0,11,0.0,0.8,0.951852,1.333333,1.388889,-1.302133,108,BRICKFACE
9,0.0,85,0.0,1.288888,1.218518,1.333333,1.277778,-1.558599,101,BRICKFACE
9,0.0,18,0.0,0.018518,0.374074,0.388889,0.611111,-0.57094,145,BRICKFACE
9,0.0,23,0.0,3.674073,0.785185,2.222222,1.777777,-1.771163,55,BRICKFACE
9,0.0,196,0.0,0.433333,0.177778,0.833333,0.666667,-0.932783,129,BRICKFACE
9,0.0,80,0.0,1.633333,0.874074,1.5,1.555556,-1.632243,116,BRICKFACE
9,0.0,2,0.0,2.388888,1.529629,2.166667,2.38889,-1.753726,44,BRICKFACE
9,0.0,120,0.0,0.418519,0.444444,0.611111,1.0,-0.924607,136,BRICKFACE
9,0.0,146,0.0,0.166667,0.107407,0.5,0.388889,-1.02473,124,BRICKFACE
9,0.0,23,0.0,1.051853,0.962963,1.444444,1.777778,-1.386867,85,BRICKFACE
9,0.0,138,0.0,0.151852,0.207407,0.611111,0.444445,-1.19107,116,BRICKFACE
9,0.0,229,0.0,0.074074,0.340741,0.888889,0.888889,-1.037663,124,BRICKFACE
9,0.0,22,0.0,0.107407,0.133333,0.388889,0.333333,-1.099624,116,BRICKFACE
9,0.0,121,0.0,2.329629,2.874074,2.277778,2.888889,-1.776113,60,BRICKFACE
9,0.0,33,0.0,0.251852,0.151852,0.555556,0.722222,-1.985703,149,BRICKFACE
9,0.0,80,0.0,1.007408,0.551851,1.222222,0.944444,-1.567327,95,BRICKFACE
9,0.0,96,0.0,1.277777,2.285188,1.5,1.611111,-1.598867,84,BRICKFACE
9,0.0,145,0.0,0.607408,1.485186,0.888889,2.611111,-1.68544,102,BRICKFACE
9,0.0,18,0.0,0.562963,0.3,0.888889,0.833333,-0.862108,138,BRICKFACE
9,0.0,138,0.0,0.444444,0.211111,0.666667,1.166667,-1.077659,133,BRICKFACE
9,0.0,121,0.0,1.52963,1.529629,1.722222,2.944444,-1.585609,113,BRICKFACE
9,0.0,95,0.0,3.411111,1.718517,1.833333,2.111111,-1.739017,57,BRICKFACE
9,0.0,140,0.0,1.46667,0.118518,0.999999,1.111111,-2.354552,25,SKY
9,0.0,142,0.0,0.623609,0.349603,0.499999,0.500001,-2.408019,33,SKY
9,0.0,66,0.0,0.327731,0.327733,0.611112,0.388892,-2.404745,41,SKY
9,0.0,165,0.0,0.474074,0.474074,0.888891,0.777779,-2.207756,99,SKY
9,0.0,228,0.0,0.490655,0.752773,1.055555,0.833333,-2.348006,20,SKY
9,0.0,124,0.0,0.711108,0.907417,1.000001,1.055553,-2.271128,29,SKY
9,0.0,156,0.0,0.162964,1.040738,0.777774,2.611109,-2.280755,32,SKY
9,0.0,21,0.0,0.044444,0.562963,0.666668,0.777779,-2.097815,90,SKY
9,0.111111,8,0.0,1.129629,0.699999,1.388891,1.833333,-2.198158,39,SKY
9,0.0,122,0.0,0.311116,5.051852,1.0,2.888891,-2.521648,11,SKY
9,0.0,44,0.0,0.344265,0.403686,0.444444,0.777779,-2.377965,79,SKY
9,0.0,7,0.0,0.729626,0.374079,1.277779,0.944445,-2.214612,18,SKY
9,0.0,188,0.0,0.54433,1.264908,0.777779,1.666668,-2.410388,42,SKY
9,0.0,152,0.0,0.455422,0.272164,0.777777,0.555557,-2.45498,18,SKY
9,0.0,120,0.0,0.088889,0.077778,0.333335,0.500001,-2.220553,74,SKY
9,0.0,143,0.0,0.907406,1.140749,1.277777,0.888888,-2.349252,24,SKY
9,0.0,181,0.0,0.462964,0.255555,0.722221,0.5,-2.264532,27,SKY
9,0.0,107,0.0,0.516398,0.408248,0.666662,1.166667,-2.370372,21,SKY
9,0.0,226,0.0,0.518519,0.507406,0.888889,1.055552,-2.239053,83,SKY
9,0.0,93,0.0,1.229636,1.574082,1.222224,1.388891,-2.29776,29,SKY
9,0.0,60,0.0,0.596301,0.740744,0.722223,0.777777,-2.229685,52,SKY
9,0.0,179,0.0,0.385187,0.329633,0.444448,0.611109,-2.328735,101,SKY
9,0.0,112,0.0,0.272164,0.720082,0.555557,1.222223,-2.385308,30,SKY
9,0.0,103,0.0,0.699205,0.918936,0.666667,1.333331,-2.355443,64,SKY
9,0.0,174,0.0,0.760115,0.952579,1.000001,0.944445,-2.337296,50,SKY
9,0.0,80,0.0,0.574132,0.772203,0.611111,0.722223,-2.434692,40,SKY
9,0.0,67,0.0,0.888891,0.299998,1.666667,1.499999,-2.339758,71,SKY
9,0.0,92,0.0,0.029629,0.566668,0.444443,0.833333,-2.326783,56,SKY
9,0.0,67,0.0,1.062842,1.310922,0.944444,1.777779,-2.333746,32,SKY
9,0.111111,125,0.0,0.611616,0.781735,0.611109,2.166668,-2.357688,46,SKY
9,0.111111,101,0.0,0.843274,0.888194,0.666667,1.5,-2.519165,121,FOLIAGE
9,0.0,21,0.0,0.403687,0.403687,0.444444,0.444444,-2.444563,122,FOLIAGE
9,0.0,45,0.0,0.340741,0.474074,0.777778,0.777778,-2.123905,89,FOLIAGE
9,0.0,18,0.0,1.962613,1.746955,1.555556,1.888889,-2.229493,87,FOLIAGE
9,0.0,52,0.0,0.507407,0.566667,0.722222,0.833333,-2.261719,102,FOLIAGE
9,0.0,54,0.0,1.540741,0.255556,1.444444,0.833333,-2.186723,91,FOLIAGE
9,0.0,80,0.111111,572.9964,1386.3292,24.388891,44.722225,-2.422127,87,FOLIAGE
9,0.0,140,0.0,0.444445,1.051852,1.0,1.111111,-2.267462,124,FOLIAGE
9,0.0,69,0.0,1.773259,1.668887,2.833333,2.111111,-1.702833,139,FOLIAGE
9,0.0,9,0.0,13.751853,71.5111,2.944444,16.666666,-2.431513,80,FOLIAGE
9,0.0,6,0.111111,8.740745,28.50741,4.111111,5.722223,-2.388561,81,FOLIAGE
9,0.0,74,0.0,0.02963,0.02963,0.222222,0.111111,-2.094395,129,FOLIAGE
9,0.0,41,0.111111,19.136257,31.71359,15.388889,26.611113,-2.356754,75,FOLIAGE
9,0.0,36,0.0,0.196296,2.062963,0.277778,1.277778,-2.53095,145,FOLIAGE
9,0.0,94,0.0,0.118518,0.166667,0.444444,0.5,-2.094395,144,FOLIAGE
9,0.0,18,0.0,0.374074,0.222222,1.055556,0.666667,-2.164323,90,FOLIAGE
9,0.0,68,0.0,0.577778,0.962963,0.666667,1.111111,-2.185466,103,FOLIAGE
