a_75,a_205,a_67,a_388,a_197,a_103,a_276,a_150,a_20,a_155,classe
480,476,481,494,475,462,476,501,515,482,-1
416,477,463,492,491,476,475,538,478,519,-1
534,477,485,457,487,483,477,500,492,489,1
482,478,489,507,485,480,476,480,455,500,1
461,478,481,483,482,480,477,494,485,410,1
499,475,535,504,473,470,477,481,484,519,1
513,478,495,514,495,494,476,552,476,546,-1
539,478,494,537,487,498,476,465,505,483,1
516,478,495,511,478,484,478,478,488,504,-1
514,477,521,511,491,472,477,434,487,442,-1
462,477,531,522,487,469,476,530,499,483,-1
561,475,487,443,498,479,475,514,500,554,1
613,476,538,498,473,481,477,487,481,493,-1
423,477,513,503,465,461,476,510,489,488,-1
561,477,523,521,485,492,476,485,482,424,-1
484,476,481,513,480,469,476,479,482,476,1
508,475,493,516,486,464,476,396,484,461,-1
539,475,455,472,475,482,477,500,475,484,1
560,476,486,507,487,474,477,481,488,507,-1
416,475,487,520,487,463,476,595,500,485,1
570,475,492,493,502,494,477,525,474,503,-1
479,476,510,488,490,448,476,562,502,452,-1
479,476,484,502,463,488,475,510,486,529,1
454,474,474,496,477,466,475,565,472,511,-1
522,477,512,498,489,458,477,457,472,518,-1
447,476,515,511,470,489,477,597,495,514,1
476,477,514,511,474,487,477,542,485,488,1
534,474,490,491,476,467,476,494,494,478,1
539,477,476,547,483,469,476,499,471,499,-1
518,475,478,494,498,468,477,458,493,486,-1
465,476,469,499,482,467,476,463,481,512,-1
517,476,509,474,476,452,476,470,477,509,1
506,473,469,463,488,465,477,509,469,520,1
532,475,495,522,485,483,475,463,490,442,1
484,476,477,494,487,452,475,441,482,502,-1
515,475,463,501,468,484,476,442,467,529,1
565,477,457,507,483,485,475,408,484,510,-1
511,476,473,491,486,469,478,531,474,466,-1
547,475,476,507,466,503,476,514,480,480,-1
534,475,517,491,480,498,475,477,472,520,-1
477,475,487,498,481,499,476,506,491,475,-1
605,476,492,528,488,471,477,483,479,478,1
542,475,479,493,475,454,476,501,479,500,-1
478,476,514,478,492,473,477,535,466,476,1
456,475,495,483,485,428,477,509,478,522,1
485,476,462,528,473,489,476,474,481,468,1
512,477,491,517,477,490,477,548,490,494,-1
431,475,523,493,477,481,476,481,513,466,-1
485,473,500,498,489,442,476,468,485,447,-1
567,476,516,476,479,469,476,406,490,487,1
448,476,533,489,472,478,476,518,493,504,-1
380,473,500,517,484,469,476,431,463,479,1
504,478,475,527,474,486,475,416,483,503,-1
482,476,483,509,478,484,475,502,472,506,-1
559,473,487,484,478,442,477,485,469,494,1
476,477,463,480,487,459,476,471,465,492,-1
499,476,494,517,470,479,477,489,479,482,-1
505,477,504,483,496,488,476,501,482,493,-1
461,479,495,496,489,462,477,455,467,523,1
533,479,498,482,477,467,477,476,500,477,-1
484,474,512,468,475,465,477,476,469,516,-1
513,477,476,484,480,473,475,568,486,510,-1
558,477,498,496,484,490,476,491,498,467,1
492,477,504,480,500,464,476,530,488,509,-1
493,476,492,503,477,475,475,524,470,484,-1
546,476,482,506,482,478,477,508,483,497,-1
500,476,502,478,474,483,475,512,479,512,-1
494,478,477,501,512,504,476,546,463,488,-1
466,475,524,500,495,500,475,524,492,484,1
487,480,490,479,494,477,476,478,491,477,-1
461,475,506,528,472,458,474,471,480,481,-1
523,475,515,510,497,485,475,517,507,492,-1
446,476,492,467,482,488,476,366,487,474,-1
500,476,471,486,496,466,476,565,489,484,-1
452,476,502,493,491,455,476,539,482,495,1
461,477,465,499,476,489,476,488,458,522,-1
506,476,482,505,498,466,476,363,488,466,1
480,477,454,470,481,499,476,395,495,492,-1
517,476,471,483,493,487,476,476,497,474,-1
486,478,490,513,489,479,476,487,483,537,1
427,478,509,468,483,450,477,475,480,475,-1
472,477,487,490,467,510,476,460,501,461,-1
519,476,485,466,478,463,477,501,488,470,-1
504,477,546,502,480,481,477,511,484,449,-1
497,477,456,496,478,476,475,534,473,503,1
586,474,501,482,475,471,476,445,491,516,-1
521,477,482,518,476,487,476,515,466,445,-1
500,475,478,481,497,481,476,438,488,476,1
570,474,482,487,465,481,477,386,486,510,-1
470,475,499,473,482,467,476,507,479,511,-1
503,478,489,488,483,455,476,510,483,485,-1
498,476,486,485,486,466,476,470,475,511,-1
482,477,490,488,489,471,477,466,488,521,-1
481,474,467,491,493,492,476,443,483,485,-1
458,476,497,476,479,484,475,558,480,516,-1
491,476,501,501,489,489,476,484,509,487,-1
440,475,461,513,493,454,476,434,491,499,1
587,478,489,486,480,470,476,518,487,482,-1
506,477,474,486,490,476,476,512,465,497,-1
468,476,494,510,487,457,475,454,508,469,-1
502,474,522,536,485,491,476,466,462,469,1
556,475,469,478,471,486,476,537,487,467,-1
498,475,495,487,480,482,475,447,475,498,1
538,478,496,510,479,485,477,440,482,484,-1
479,477,492,466,486,481,477,459,479,482,1
502,476,457,469,477,509,476,491,474,491,-1
522,477,482,508,466,477,477,473,490,503,-1
553,475,498,494,476,458,476,479,469,493,-1
484,475,503,496,502,452,476,488,481,535,-1
429,475,475,533,467,483,476,520,493,535,-1
569,477,474,522,477,470,476,519,466,479,1
490,477,495,487,490,485,476,423,485,507,-1
464,476,490,482,463,481,476,455,468,494,-1
557,477,476,481,475,484,476,416,495,478,-1
500,474,509,446,480,480,476,381,477,483,-1
513,477,493,517,490,476,476,514,498,457,1
503,476,499,509,487,495,476,467,494,512,1
503,474,445,530,487,477,477,502,484,518,1
501,479,539,515,488,476,476,537,520,443,-1
480,475,503,515,500,467,476,502,481,450,1
491,478,498,509,486,460,476,516,473,464,1
548,476,505,506,468,481,475,469,479,486,1
532,476,513,495,480,485,476,503,483,462,1
527,478,474,544,488,468,477,436,476,461,-1
543,478,501,527,488,472,477,524,484,452,-1
532,476,483,468,470,457,476,447,487,452,1
510,477,498,508,490,476,476,434,493,481,1
459,474,502,478,467,489,477,500,481,437,-1
537,477,481,506,482,471,475,505,488,495,-1
578,475,443,503,486,478,477,455,472,516,-1
562,477,483,503,472,486,476,506,459,462,-1
453,478,499,504,476,472,476,509,490,461,1
464,476,518,499,485,479,476,493,497,494,1
493,476,511,492,479,489,477,542,481,497,1
483,476,490,509,489,475,475,475,489,474,-1
595,475,484,515,488,472,475,570,460,434,-1
511,476,504,496,488,479,476,460,489,442,-1
480,477,496,510,482,494,476,494,482,432,-1
517,474,512,504,463,471,476,447,491,489,1
454,475,478,471,481,488,476,484,497,479,-1
504,476,500,490,483,477,476,539,472,505,-1
522,474,503,499,494,475,476,520,498,490,-1
482,475,524,513,463,457,477,557,478,516,-1
562,475,548,496,491,482,476,465,472,503,-1
508,475,507,489,479,471,476,518,493,503,-1
487,474,503,491,480,499,476,515,480,486,1
521,474,495,504,488,454,477,456,464,453,-1
550,477,487,510,485,485,476,489,523,484,1
592,476,456,469,485,482,475,468,483,541,-1
489,479,493,497,470,479,477,558,485,523,-1
488,475,454,444,485,437,476,466,490,501,-1
494,476,525,497,472,474,476,502,488,479,1
498,477,462,483,487,471,476,492,504,519,1
460,476,479,484,468,493,476,544,497,496,-1
451,477,476,477,495,487,475,468,497,464,1
499,474,467,490,474,480,476,494,473,467,1
576,476,487,520,472,477,475,520,471,493,-1
558,477,507,507,474,455,476,481,485,493,-1
494,475,488,509,491,466,476,527,492,482,-1
